K,r,d,random yield_mean,random yield_std,historic TB rates yield_mean,historic TB rates yield_std,exp3 yield_mean,exp3 yield_std,LinUCB yield_mean,LinUCB yield_std
1,1,0.23,150,17,142,16,135,13,102,20
1,1,0.33,162,18,153,18,148,15,121,21
1,1,0.43,172,20,164,20,159,18,136,23
1,2,0.23,139,14,131,13,124,11,86,19
1,2,0.33,145,15,138,15,131,11,97,21
1,2,0.43,153,18,144,15,137,12,104,20
1,3,0.23,134,14,126,13,119,10,79,17
1,3,0.33,140,15,133,13,124,11,87,18
1,3,0.43,145,15,138,14,130,12,93,20
1,4,0.23,131,13,124,12,116,10,76,16
1,4,0.33,137,14,129,13,121,10,82,18
1,4,0.43,142,15,133,14,126,11,87,19
1,5,0.23,130,13,123,12,114,9,75,16
1,5,0.33,135,14,126,12,119,10,81,17
1,5,0.43,139,14,131,13,123,11,82,18
2,1,0.23,148,11,141,11,111,10,78,13
2,1,0.33,161,13,153,12,125,10,89,14
2,1,0.43,171,15,162,13,137,12,98,14
2,2,0.23,138,10,130,9,94,9,65,9
2,2,0.33,145,11,138,10,104,9,72,12
2,2,0.43,152,11,143,11,112,10,79,12
2,3,0.23,134,9,127,9,88,8,61,9
2,3,0.33,140,10,132,9,94,9,66,10
2,3,0.43,144,10,136,10,100,9,70,10
2,4,0.23,132,9,124,8,85,8,60,9
2,4,0.33,137,10,128,9,90,8,63,9
2,4,0.43,141,10,133,9,95,9,66,10
2,5,0.23,130,9,123,8,83,8,59,8
2,5,0.33,135,9,127,9,88,8,62,8
2,5,0.43,139,10,130,9,92,9,64,9
3,1,0.23,149,9,141,8,96,8,74,8
3,1,0.33,160,10,153,10,111,9,83,10
3,1,0.43,170,11,163,11,123,10,91,10
3,2,0.23,138,8,130,7,79,8,64,6
3,2,0.33,146,8,138,8,87,8,70,8
3,2,0.43,151,9,143,8,96,9,74,8
3,3,0.23,134,8,126,7,73,7,61,6
3,3,0.33,140,8,132,7,80,7,64,6
3,3,0.43,145,8,136,8,86,8,68,7
3,4,0.23,132,7,125,7,71,7,59,5
3,4,0.33,137,8,129,7,76,7,62,7
3,4,0.43,141,8,133,8,80,8,65,6
3,5,0.23,131,7,123,7,69,6,58,6
3,5,0.33,135,8,128,7,73,7,61,5
3,5,0.43,138,8,130,7,77,8,63,6
4,1,0.23,149,8,141,7,96,8,74,7
4,1,0.33,160,9,152,9,110,9,82,8
4,1,0.43,169,10,162,9,122,9,91,9
4,2,0.23,139,6,131,6,80,7,65,6
4,2,0.33,146,7,138,7,89,7,70,6
4,2,0.43,151,8,143,7,96,8,75,7
4,3,0.23,134,6,126,6,75,7,61,5
4,3,0.33,140,7,132,6,81,7,66,6
4,3,0.43,144,7,136,7,87,7,68,6
4,4,0.23,133,6,125,6,73,7,60,5
4,4,0.33,137,7,129,6,78,7,63,5
4,4,0.43,141,7,133,6,82,7,66,6
4,5,0.23,131,6,124,6,71,7,59,5
4,5,0.33,136,7,128,6,75,7,62,5
4,5,0.43,139,7,131,6,79,7,64,5
